||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'||||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'|||||||||||||||||||||||||||||||||
||||||||||||||||||||'Суммарный объем'|'Суммарный объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'||||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|
218|1201218|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||244,82|245,59|31,93||31,93||31,93||9,28||0||0||0||0||0||31,6844||31,6844||31,6844||95,0532|0,12445|'150-70'|'Зависимая'|0|'нет'|
219|1201219|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||1256,53|1633,23|223,32||223,32||220,52||64,83||0||0||0||0||0||223,3553||223,3553||223,3553||670,0659|0,64233|'150-70'|'Зависимая'|0|'нет'|
220|1201220|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||641,86|609,37|120,43||84,78||40,14||14,34||0||0,75||0,75||0||0||67,86||68,08||76,92||587,82|0,29|'150-70'|'Зависимая'|1|'нет'|
221|1201221|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||810,42|744,99|100,66||62,64||41,74||10,6||0||0,7||0,7||0||0||60,53||49,51||62||479,07|0,22|'150-70'|'Зависимая'|1|'нет'|
222|1201222|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|2||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||789,9|682,77|205,85||111,18||78,54||20,89||0||1,74||1,74||0||0||106,29||90,08||113,82||908,51|0,31|'150-70'|'Зависимая'|2|'нет'|
223|1201223|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||510,06|689,33|161,91||83,77||61,38||10,87||0||0,5||0,5||0||0||56,63||75,67||83,64||655,76|0,29|'150-70'|'Зависимая'|1|'нет'|
224|1201224|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||381,2|462,52|112,44||58,93||39,66||8,75||0||0,78||0,78||0||0||57,33||47,56||59,38||467,9|0,26|'150-70'|'Зависимая'|1|'нет'|
225|1201225|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||701,59|605,93|156,21||67,33||43,2||13,18||0||1,08||1,08||0||0||62,86||67,78||79,7||602,69|0,29|'150-70'|'Зависимая'|1|'нет'|
226|1201226|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||462,09|482,26|60,2||60,2||60,2||57,41||0||4,35||4,35||0||10,65||45,35||57,23||57,23||473,02|0,18|'150-70'|'Зависимая'|1|'нет'|
227|1201227|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||675,4|645,57|151,77||86,14||55,53||16,83||0||2,21||2,21||0||0||63,94||71,91||90,23||661,67|0,29|'150-70'|'Зависимая'|1|'нет'|
228|1201228|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||456,98|436,55|121,13||71,67||46,02||10,85||0||0,7||0,7||0||0||62,85||55,65||68,79||530,82|0,23|'150-70'|'Зависимая'|1|'нет'|
229|1201229|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||669,37|602,71|152,3||81,17||50,84||10,69||0||0,5||0,5||0||0||72,77||58,47||78,03||612,88|0,3|'150-70'|'Зависимая'|1|'нет'|
230|1201230|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||458,98|477,77|59,91||59,91||59,91||57,13||0||4,35||4,35||0||12,1||43,65||56,98||56,98||470,83|0,2|'150-70'|'Зависимая'|0|'нет'|
231|1201231|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||622,67|679,11|182,31||102,94||63,44||15,27||0||0,49||0,49||0||0||94,12||74,23||91,6||764,27|0,3|'150-70'|'Зависимая'|1|'нет'|
232|1201232|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||469,74|463,61|120,2||68,87||40,45||10,89||0||0,96||0,96||0||0||63,3||52,66||70,06||517,4|0,24|'150-70'|'Зависимая'|1|'нет'|
233|1201233|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||505,52|507,51|122,76||65,39||40,78||10,98||0||1,44||1,44||0||0||63,8||49,51||69,17||512,38|0,23|'150-70'|'Зависимая'|1|'нет'|
234|1201234|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||459,42|545,76|129,19||72,04||47,13||11,78||0||1,42||1,42||0||0||63,2||57,42||78,06||557,22|0,23|'150-70'|'Зависимая'|1|'нет'|
235|1201235|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||454,68|409,84|109,74||62,9||38,33||9,41||0||1,1||1,1||0||0||57,67||43,1||60,18||470,23|0,21|'150-70'|'Зависимая'|1|'нет'|
236|1201236|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||627,48|551,83|149,27||87,7||55,82||13,84||0||0,7||0,7||0||0||75,91||65,45||87,83||655,12|0,27|'150-70'|'Зависимая'|1|'нет'|
237|1201237|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||493,36|576,44|127,31||75,91||47,76||11||0||1,39||1,39||0||0||63,92||50,9||72,02||546,99|0,22|'150-70'|'Зависимая'|1|'нет'|
238|1201238|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||460,6|621,27|122,21||77,78||47,27||11,03||0||1,34||1,34||0||0||62,52||51,03||73,97||548,02|0,23|'150-70'|'Зависимая'|1|'нет'|
239|1201239|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||800,71|691,29|150,68||119,25||67,1||15,49||0||0,96||0,96||0||0||93,44||77,76||108,97||786,34|0,35|'150-70'|'Зависимая'|1|'нет'|
240|1201240|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||661,4|846,67|162,75||107,58||68,34||18,21||0||0,61||0,61||0||0||88,11||71,4||103,65||762,53|0,3|'150-70'|'Зависимая'|1|'нет'|
241|1201241|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||668,24|695,19|160,15||91,53||61,46||14,3||0||1,3||1,3||0||0||71,47||61,72||90,82||677,76|0,23|'150-70'|'Зависимая'|1|'нет'|
242|1201242|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||844,95|911,18|216,65||125,16||80,11||19,36||0||1,39||1,39||0||0||98,91||91,82||121,42||924,65|0,35|'150-70'|'Зависимая'|1|'нет'|
243|1201243|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||804,16|777,89|155,09||115,68||81,46||15,8||0||1,48||1,48||0||0||93,61||81,59||103,91||806,09|0,35|'150-70'|'Зависимая'|1|'нет'|
244|1201244|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||834,58|901,25|199,45||115,15||71,53||17,08||0||1,83||1,83||0||0||99,13||79,68||110,87||849,14|0,35|'150-70'|'Зависимая'|1|'нет'|
245|1201245|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||457,4|447,43|148,48||99,43||67,47||18,05||0||2,26||2,26||0||0||94,17||73,31||100,26||735,18|0,35|'150-70'|'Зависимая'|1|'нет'|
246|1201246|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|2|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||2695,56|3006,55|514,17||383,48||229,3||117,28||48,24||49,65||49,65||45,38||64,81||262,43||272,27||354,85||2829,71|1,5|'150-70'|'Зависимая'|2|'нет'|
247|1201247|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|2|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||2756,13|3076,95|482,42||364,02||252,04||133,22||53,86||50,78||50,78||49,17||59,19||277,88||295,67||353,81||2862,08|1,85|'150-70'|'Зависимая'|2|'нет'|
248|1201248|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||2568,27|1815,98|307,09||236,46||209,26||90,18||45,61||39,29||39,29||38,52||54,63||179,16||188,24||245,27||1936,06|1,09|'150-70'|'независимая'|1|'нет'|
249|1201249|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1470,19|1014,94|222,36||152,46||124,63||30,22||16,01||15,19||15,19||19,17||19,97||130,93||142,4||149,13||1200,73|0,74|'150-70'|'Зависимая'|1|'нет'|
250|1201250|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|2|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||2720,18|2749,82|391,84||276,16||236,4||103,81||50,98||44,87||44,87||44,68||56,82||271,69||256,28||312,16||2483,02|1,8|'150-70'|'Зависимая'|2|'нет'|
251|1201251|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||2427,42|1639,18|282,28||232,69||185,36||71,37||36,1||33,45||33,45||21,69||26,87||190,16||175,81||204,1||1725,85|1,02|'150-70'|'Зависимая'|1|'нет'|
252|1201252|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||2280,42|1761,38|322,95||275,82||200,78||86,49||37,95||28,23||28,23||26,21||37,6||207,97||209,88||232,61||1968,45|1,02|'150-70'|'Зависимая'|1|'нет'|
253|1201253|'"ГУП ""ТЭК СПб"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'да'||1051,03|1152,57|176,54||158,89||121,47||46,22||33,25||15,72||15,72||18,14||22,61||87,63||99,4||135,38||378,88|0,73276|'150-70'|'независимая'|1|'нет'|
254|1201254|'"ГУП ""ТЭК СПб"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'да'||1060,87|1045,96|186,72||156,74||117,86||56,22||33,95||17,29||17,29||20,36||24,48||70,42||86,38||121,88||340,81|0,73276|'150-70'|'независимая'|1|'нет'|
255|1201255|'Ведомственное'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'|||||||||||||||||||||||||||||0,5777|'150-70'|'независимая'|1|'нет'|
256|1201256|'Ведомственное'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'|||||||||||||||||||||||||||||0,5777|'150-70'|'независимая'|1|'нет'|
257|1201257|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||1434,57||465,39||466,91||466,91||135,55||0||0||0||0||0||348,0747||348,0847||348,0847||1044,2441|0,97707|'95-70'|'Зависимая'|0|'нет'|
258|1201258|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||1616,23|2160,01|||||||||||||||||||||||||||'95-70'|'Зависимая'|0|'нет'|
259|1201259|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||346,45|369,22|45,19||45,19||45,19||13,12||0||0||0||0||0||45,57||45,57||45,57||136,71|0,17564|'95-70'|'Зависимая'|0|'нет'|
260|1201260|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||333,92|1470,58|36,71||36,71||36,71||10,65||0||0||0||0||0||36,7536||36,7536||36,7536||110,2608|0,16962|'95-70'|'Зависимая'|0|'нет'|
261|1201261|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||309,31|511,56|111,24||111,24||111,24||32,3||0||0||0||0||0||100,7712||100,7712||100,7712||302,3136|0,27901|'95-70'|'Зависимая'|0|'нет'|
262|1201262|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||||||||||||||||||||||||||||||'95-70'|'Зависимая'|0|'нет'|
263|1201263|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||112,43|490,08|12,66||12,66||12,66||3,68||0||0||0||0||0||12,2819||12,2819||12,2819||36,8457|0,05721|'95-70'|'Зависимая'|0|'нет'|
264|1201264|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||480,93|1450,66|331,78||331,78||331,78||96,32||0||0||0||0||0||343,1761||343,1761||343,1761||1029,5283|0,82098|'95-70'|'Зависимая'|0|'нет'|
265|1201265|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|2||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||2302,98|1652,67|443,54||231,56||147,24||34,01||0||2,78||2,78||0||0||214,48||184,55||222,87||1804,26|1,2|'150-70'|'Зависимая'|2|'нет'|
266|1201266|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||1696,26|1471,79|301,45||196,88||118,89||28,5||0||1,57||1,57||0||0||165,85||158,73||192,47||1437,64|0,79|'150-70'|'Зависимая'|1|'нет'|
267|1201267|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|2|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||2071,67|1938,53|395,86||237,54||153,22||34,88||0||0||0||1,7||0||204,65||197,9||236,32||1802,07|0,74|'150-70'|'Зависимая'|2|'нет'|
268|1201268|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||1890,73|1636,91|332,17||212,9||148,44||39,39||0||0||0||1,5||0||188,25||168,68||225,45||1656,36|0,89|'150-70'|'Зависимая'|1|'нет'|
269|1201269|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|2||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||1657,18|1409,34|308,15||233,71||233,71||233,71||0||1,7||1,7||0||0||167,16||135,18||188,49||1735,52|0,8|'150-70'|'Зависимая'|2|'нет'|
