'Приложение № 1'|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
'Общие характеристики многоквартирных домов (МКД) на территории'|||||||||||||||||||||||||||||||||||||
'МОСКОВСКОГО  района'|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
'"Графы ""1""-""10"" заполнять по всем многоквартирным домам района"'|||||||||||||||||||||||||||||||||||||
'№ п/п'|'Адрес МКД'|||||||||' Технические характеристики МКД'||||||||||||||||||||||'Количество общедомовых приборов учета энергоресурсов на вводах, шт.'|||||'Примечание'
|'Район'|'муниципальное образование'|'Улица'|'Номер'|'Номер корпуса'|'Номер строения'|'Код дома БТИ'|'Форма управления МКД'|'Категория дома: ведомственный / общежитие / гостиничного типа'|'Тип дома'|'Серия дома'|'Год постройки'|'Тип стен'|'"Количество этажей (при разной этажности указать через ""/"", начиная с 1-го подъезда)"'|'"Кол-во подземных этажей (при разной этажности указать через ""/"", начиная с 1-го подъезда)"'|'Количество подъездов'|'Количество квартир'|'Общая площадь дома'|'Общая отапливаемая площадь дома'|'Площадь жилых помещений'|'Площадь  нежилых помещений (за искл. мест общего пользования)'|'Электоэнергия (да/нет)'|'"ХВС'||||||||||||||
'(да/нет)"'|'"ГВС'||||||||||||||||||||||||||||||||||||
'(да/нет)"'|'Водоотведение (да/нет)'|'Отопление (да/нет)'|'Газоснабжение (да/нет)'|'Оснащение газ. колонками (да/нет)'|'"Оснащение газ.плитами'||||||||||||||||||||||||||||||||
'(да/нет)"'|'"Оснащение электроплитами'||||||||||||||||||||||||||||||||||||
'(да/нет)"'|'Кол-во лифтов дома, шт.'|'Электроэнергия'|'ХВС'|'ГВС'|'Тепловая энергия'|'Газ'|||||||||||||||||||||||||||||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38
56|'московский'|'"""Гагаринское"""'|'Витебский   пр.'|47|5||1201056|'част.управл.орг.с гос.участием'|||'1-528-КП-6Э'|1968|1|5||7|139|5837||5817|20|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1||
57|'московский'|'"""Гагаринское"""'|'Витебский   пр.'|49|1||1201057|'част.управл.орг.с гос.участием'|||'1-528-КП-41'|1965|1|9||4|231|11200||11026|174|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|4|2|1||2||
58|'московский'|'"""Гагаринское"""'|'Витебский   пр.'|51|2||1201058|'част.управл.орг.с гос.участием'|||'1-528-КП-6Э'|1968|1|5||7|139|5863||5834|29|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1||
59|'московский'|'"""Гагаринское"""'|'Витебский   пр.'|53|1||1201059|'част.управл.орг.с гос.участием'|||'1-ЛГ-504-3'|1964|3|5||7|139|6941||6888|53|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1||
60|'московский'|'"""Гагаринское"""'|'Витебский   пр.'|53|4||1201060|'част.управл.орг.с гос.участием'|||'1-ЛГ-507-7'|1964|3|5||6|110|5466||5085|381|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1||
61|'московский'|'"""Гагаринское"""'|'Витебский   пр.'|59|1||1201061|'част.управл.орг.с гос.участием'|||'индивид.'|2012|3|' 8/9'||1|100|5879||4085|1794|'да'|'да'|'нет'|'да'|'да'|'нет'|'да'|'да'|'да'|0||||2||
62|'московский'|'"""Гагаринское"""'|'Витебский   пр.'|61|1||1201062|'част.управл.орг.с гос.участием'|||'1-ЛГ-504-3'|1965|3|5||7|139|6944||6878|66|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1||
63|'московский'|'"""Гагаринское"""'|'Витебский   пр.'|61|4||1201063|'част.управл.орг.с гос.участием'|||'1-ЛГ-507'|1965|3|5||6|110|5456||5081|375|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1||
64|'московский'|'"""Гагаринское"""'|'Витебский   пр.'|63|||1201064|'част.управл.орг.с гос.участием'|||'1-528-КП-41'|1966|1|9||4|287|10752||10619|133|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|4|2|1||2||
65|'московский'|'"""Гагаринское"""'|'Витебский   пр.'|65|||1201065|'част.управл.орг.с гос.участием'|||'1-ЛГ-504-3'|1966|3|5||7|139|6950||6889|61|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1||
66|'московский'|'"""Гагаринское"""'|'Витебский   пр.'|69|||1201066|'част.управл.орг.с гос.участием'|||'1-ЛГ-507-4Э'|1966|3|5||4|80|3583||3527|56|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1||
67|'московский'|'"""Гагаринское"""'|'Витебский   пр.'|71|||1201067|'част.управл.орг.с гос.участием'|||'1-528-КП-80Э'|1974|1|14||1|84|4535||4456|79|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|2|2|1||1||
68|'московский'|'"""Гагаринское"""'|'Витебский   пр.'|73|1||1201068|'част.управл.орг.с гос.участием'|||'1-528-КП-80Э'|1975|1|14||1|84|4555||4442|113|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|2|2|1||1||
69|'московский'|'"""Гагаринское"""'|'Витебский   пр.'|75|||1201069|'част.управл.орг.с гос.участием'|||'1-ЛГ-504-3'|1966|3|5||7|139|6943||6882|61|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1||
70|'московский'|'"""Гагаринское"""'|'Витебский   пр.'|81|2||1201070|'част.управл.орг.с гос.участием'|||'1-ЛГ-507-4а'|1966|3|5||4|80|3591||3538|53|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1||
