52|2000201|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'да'|||||||||||||||||||14||'20.89'||'10.05'||||'59.91'||'50.39'||'68.47'||'223.71'|'132.27'||'зависимая'|1|
53|2000900|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'||||8|'105/70'|'нет'|||||||||'143.57'||'97.7'||'134.88'||'79.9'||'3.07'||0||0||0||||'60.9'||'75.14'||93||'688.16'|'99.81'||'зависимая'||
54|2000901|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'нет'|||||||||'143.57'||'97.7'||'134.88'||'77.82'||'3.14'||0||0||0||||'123.4'||'77.14'||'95.24'||'752.89'|'99.81'||'зависимая'|1|
55|2000902|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'||||8|'105/70'|'да'|||||||||||||||||||0||0||0||||||||||0|'95.53'||'зависимая'||
56|2000903|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'да'|||||||||'99.32'||'89.65'||'118.96'||'73.07'||'17.98'||'15.33'||'9.8'||'7.69'||||'70.2'||'82.13'||'89.08'||'673.21'|'202.14'||'зависимая'|1|
57|2000905|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'да'|||||||||'99.89'||'73.2'||'95.29'||'298.36'||'24.63'||'15.86'||'7.34'||'9.33'||||'80.7'||81||'106.13'||'891.74'|'172.72'||'зависимая'|1|
58|2000907|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'||||8|'105/70'||||||||||'107.14'||'94.78'||'107.14'||'77.78'||'3.58'||0||0||0||||'70.95'||'81.58'||'89.12'||'632.07'|'110.9'||'зависимая'||
59|2000908|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'да'|||||||||'103.22'||'108.62'||'96.81'||'84.58'||'20.37'||'12.28'||'12.18'||'13.51'||||'85.14'||'81.58'||'95.03'||'713.32'|'253.82'||'зависимая'|1|
60|2000909|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'да'|||||||||'216.82'||'145.59'||'173.46'||'131.32'||'31.94'||'12.59'||'21.45'||'17.9'||||'141.18'||'115.74'||'147.28'||'1155.27'|'217.22'||'зависимая'|1|
61|2000904|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'нет'|||||||||'120.02'||'81.27'||'105.41'||'57.41'||'12.16'||0||0||0||||'82.4'||'63.77'||66||'588.44'|'114.59'||'зависимая'|1|
62|2000906|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'нет'|||||||||'52.43'||'174.24'||'60.33'||'103.63'||'23.04'||0||0||0||||'181.71'||152||'169.14'||'916.52'|'184.83'||'зависимая'|1|
63||'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'||||8|'105/70'|'нет'|||||||||||||||||||0||0||0||||||||||0|'184.83'||'зависимая'||
64||'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'||||8|'105/70'|'нет'|||||||||||||||||||0||0||0||||||||||0|||'зависимая'||
65|2000914|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|2|||8|'105/70'||||||||||'369.55'||'271.81'||'322.85'||'180.47'||'33.43'||0||0||0||||'221.42'||'192.09'||'242.43'||'1834.05'|'306.6'||'зависимая'|2|
