||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'|||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'||||||||||||||||||||||||||||||||
||||||||||||||||||||'Суммарный объем'|'Суммарный объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'|||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52
197|342107|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'закрытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|80|'7АТИ'|'145/95'|'нет'|'нет'|'да'|'нет'|'теплообменник'|'нет'||393,65|471,78|77,51|'Р'|82,98|'Р'|114,94|'Д'|87,96|'Д'|31,17|'Д'|0|'Д'|0|'Д'|0|'Д'|0|'Д'|53,84|'Д'|63,8|'Д'|88,27|'Д'|600,47|0,07893|'95-70'|'независимая'|0|'разгружен'
198|342108|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'закрытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|80|'7АТИ'|'145/95'|'нет'|'нет'|'нет'|'нет'|'теплообменник'|'нет'||718,97|958,61|156,27|'Р'|151,65|'Р'|154,28|'Р'|150,96|'Р'|133,33|'Р'|11,38|'Р'|12,62|'Р'|12,06|'Р'|12,98|'Р'|123,6|'Р'|125,73|'Р'|138,9|'Р'|1183,76|0,0984|'95-70'|'независимая'|1|'разгружен'
199|342109|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|80|'7АТИ'|'145/95'|'нет'|'нет'|'да'|'нет'|'элеваторная'|'нет'||768,82|988,2|170,68|'Р'|173,99|'Р'|174,96|'Р'|172,72|'Р'|170,59|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|142,13|'Р'|161,52|'Р'|161,52|'Р'|1328,11|0,19296|'95-70'|'зависимая'|1|'разгружен'
200|342110|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|80|'7АТИ'|'145/95'|'нет'|'нет'|'да'|'нет'|'элеваторная'|'нет'||526,09|503,55|85,87|'Р'|85,06|'Р'|85,63|'Р'|84,53|'Р'|83,47|'Р'|0,72|'Р'|0|'Р'|0|'Р'|0|'Р'|81,1|'Р'|82,29|'Р'|82,93|'Р'|671,6|0,17575|'95-70'|'зависимая'|1|'разгружен'
201|342111|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|80|'7АТИ'|'145/95'|'нет'|'нет'|'да'|'нет'|'элеваторная'|'нет'||813,23|801,08|138,46|'Р'|137,71|'Р'|138,44|'Р'|138,18|'Р'|137,93|'Р'|0,72|'Р'|0|'Р'|0|'Р'|0|'Р'|117,38|'Р'|119,14|'Р'|124,12|'Р'|1052,08|0,26621|'95-70'|'зависимая'|1|'разгружен'
202|342112|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|80|'7АТИ'|'145/95'|'да'|'нет'|'да'|'нет'|'элеваторная'|'нет'||649,11|728,72|93,29|'Р'|92,98|'Р'|93,29|'Р'|93,29|'Р'|93,29|'Р'|21,71|'Р'|20,79|'Р'|22,43|'Р'|22,59|'Р'|83,49|'Р'|82,8|'Р'|82,8|'Р'|802,75|0,14356|'95-70'|'зависимая'|1|'разгружен'
203|342113|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|80|'7АТИ'|'145/95'|'да'|'нет'|'да'|'нет'|'элеваторная'|'нет'||778,83|790,43|124,9|'Д'|109,1|'Д'|107,55|'Д'|92,06|'Д'|42,95|'Д'|23,37|'Д'|10,84|'Д'|20,55|'Д'|51,43|'Д'|66,72|'Д'|74,02|'Д'|94,3|'Д'|817,79|0,21928|'95-70'|'зависимая'|1|'разгружен'
204|342114|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'да'|'нет'|'элеваторная'|'нет'||486,71|480,89|83,72|'Д'|82,17|'Д'|70,3|'Д'|56,08|'Д'|33,58|'Д'|12,22|'Д'|5,6|'Д'|13,6|'Д'|18,06|'Д'|38,52|'Д'|45,88|'Д'|61,64|'Д'|521,37|0,28795|'95-70'|'зависимая'|1|'разгружен'
205|342115|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|80|'7АТИ'|'145/95'|'нет'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||589,04|764,75|120,16|'Р'|122,96|'Р'|123,28|'Р'|122,56|'Р'|121,88|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|107,08|'Р'|107,64|'Р'|107,95|'Р'|933,51|0,17098|'95-70'|'зависимая'|1|'разгружен'
206|342116|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|80|'7АТИ'|'145/95'|'нет'|'нет'|'да'|'нет'|'элеваторная'|'нет'||656,94|929,81|159,03|'Р'|157,74|'Р'|162,35|'Р'|151,75|'Р'|141,66|'Р'|0|'Р'|0|'Р'|0|'Р'|28,07|'Р'|121,57|'Р'|126,55|'Р'|126,55|'Р'|1175,27|0,17859|'95-70'|'зависимая'|1|'разгружен'
207|342117|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'да'|'нет'|'элеваторная'|'нет'||628,99|836,36|95,98|'Р'|95,98|'Р'|95,98|'Р'|95,98|'Р'|95,98|'Р'|32,42|'Р'|32,25|'Р'|32,25|'Р'|32,47|'Р'|90,89|'Р'|90,67|'Р'|89,88|'Р'|880,73|0,40915|'95-70'|'зависимая'|1|'разгружен'
208|342118|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|80|'7АТИ'|'145/95'|'нет'|'нет'|'да'|'нет'|'элеваторная'|'нет'||527,56|535,76|97,07|'Д'|86,62|'Д'|85,87|'Д'|62,66|'Д'|20,92|'Д'|0,33|'Д'|0|'Д'|0|'Д'|0|'Д'|42,21|'Д'|22,01|'Д'|28,77|'Д'|446,46|0,18739|'95-70'|'зависимая'|1|'не разгружен'
209|342119|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'да'|'нет'|'элеваторная'|'нет'||1118,15|1152,21|178,92|'Д'|161,66|'Д'|156,69|'Д'|122,79|'Д'|76,21|'Д'|40,48|'Д'|20,57|'Д'|26,34|'Д'|32,94|'Д'|96,98|'Д'|112,75|'Д'|137,15|'Д'|1163,48|0,30628|'95-70'|'зависимая'|1|'разгружен'
210|342120|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'да'|'нет'|'элеваторная'|'нет'||1254,25|1304,77|205,6|'Д'|196,37|'Д'|169,04|'Д'|149,78|'Д'|71,79|'Д'|38,56|'Д'|47,09|'Д'|46,78|'Д'|21,26|'Д'|98,73|'Д'|119,91|'Д'|148,03|'Д'|1312,94|0,47586|'95-70'|'зависимая'|1|'разгружен'
211|342121|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|100|'7АТИ'|'145/95'|'да'|'нет'|'да'|'нет'|'элеваторная'|'нет'||717,64|725,18|137,49|'Д'|109,37|'Д'|112,83|'Д'|88,98|'Д'|39,82|'Д'|15,64|'Д'|23,34|'Д'|14,64|'Д'|15,1|'Д'|56,64|'Д'|69,99|'Д'|90,1|'Д'|773,94|0,34131|'95-70'|'зависимая'|1|'разгружен'
212|342122|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'да'|'нет'|'элеваторная'|'нет'||810,69|854,88|139,52|'Д'|115,1|'Д'|110,5|'Д'|92,57|'Д'|58,19|'Д'|38,86|'Д'|21,13|'Д'|26,81|'Д'|31,46|'Д'|66,58|'Д'|79,13|'Д'|98,7|'Д'|878,55|0,26928|'95-70'|'зависимая'|1|'разгружен'
213|342123|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|80|'7АТИ'|'145/95'|'нет'|'нет'|'да'|'нет'|'элеваторная'|'нет'||652,46|619,5|135,51|'Д'|89,36|'Д'|79,78|'Д'|80,96|'Д'|21,56|'Д'|0,33|'Д'|0|'Д'|0|'Д'|0|'Д'|59,91|'Д'|75,36|'Д'|100,1|'Д'|642,87|0,33423|'95-70'|'зависимая'|1|'разгружен'
214|342124|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'да'|'нет'|'элеваторная'|'нет'||625,68|838,53|92,32|'Р'|92,32|'Р'|92,32|'Р'|92,32|'Р'|92,32|'Р'|27,62|'Р'|27,45|'Р'|29,32|'Р'|29,51|'Р'|87,96|'Р'|85,9|'Р'|85,12|'Р'|834,48|0,5963|'95-70'|'зависимая'|1|'разгружен'
215|342125|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|80|'7АТИ'|'145/95'|'нет'|'нет'|'да'|'нет'|'элеваторная'|'нет'||716,22|756,52|153,32|'Д'|139,01|'Д'|125|'Д'|96,62|'Д'|30,71|'Д'|0,33|'Д'|0|'Д'|0|'Д'|0|'Д'|69,92|'Д'|87,4|'Д'|115,27|'Д'|817,58|0,80229|'95-70'|'зависимая'|1|'разгружен'
216|342126|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|50|'7АТИ'|'145/95'|'нет'|'нет'|'да'|'нет'|'элеваторная'|'нет'||675,44|680,07|139,2|'Д'|127,3|'Д'|113,2|'Д'|92,1|'Д'|28,2|'Д'|0,34|'Д'|0|'Д'|0|'Д'|0|'Д'|71,66|'Д'|78,47|'Д'|108,43|'Д'|758,9|0,41098|'95-70'|'зависимая'|1|'разгружен'
217|342127|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'да'|'нет'|'элеваторная'|'нет'||808,88|1147,39|127,81|'Р'|127,81|'Р'|127,81|'Р'|127,81|'Р'|127,81|'Р'|40,38|'Р'|40,18|'Р'|41,05|'Р'|41,32|'Р'|120,66|'Р'|119,52|'Р'|118,45|'Р'|1160,61|0,25836|'95-70'|'зависимая'|1|'разгружен'
218|342128|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'да'|'нет'|'элеваторная'|'нет'||994,18|1050,46|162,1|'Д'|152,3|'Д'|137,61|'Д'|121,93|'Д'|65,27|'Д'|48,64|'Д'|24,51|'Д'|33,56|'Д'|39,96|'Д'|83,44|'Д'|105,41|'Д'|132,94|'Д'|1107,67|0,4822|'95-70'|'зависимая'|1|'не разгружен'
219|342129|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'да'|'нет'|'элеваторная'|'нет'||845,07|893,72|136,17|'Д'|121,32|'Д'|107,46|'Д'|99,4|'Д'|50,73|'Д'|53,42|'Д'|24,24|'Д'|30,46|'Д'|35,33|'Д'|75,88|'Д'|88,84|'Д'|107,93|'Д'|931,18|0,25866|'95-70'|'зависимая'|1|'разгружен'
220|342130|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|80|'7АТИ'|'145/95'|'да'|'нет'|'да'|'нет'|'элеваторная'|'нет'||1037,9|1326,24|146,77|'Р'|142,55|'Р'|145,82|'Р'|146,77|'Р'|146,77|'Р'|42,69|'Р'|41,78|'Р'|33,69|'Р'|34,01|'Р'|128,18|'Р'|136,41|'Р'|136,41|'Р'|1281,85|0,55342|'95-70'|'зависимая'|1|'разгружен'
221|342131|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'да'|'нет'|'элеваторная'|'нет'||930,17|1045,2|161,68|'Д'|148,1|'Д'|107,46|'Д'|121,9|'Д'|62,94|'Д'|35,09|'Д'|15,68|'Д'|17,59|'Д'|28,41|'Д'|85,28|'Д'|100,15|'Д'|121,49|'Д'|1005,77|0,5727|'95-70'|'зависимая'|1|'разгружен'
222|342132|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|80|'7АТИ'|'145/95'|'да'|'нет'|'да'|'нет'|'элеваторная'|'нет'||684,47|775,27|89,69|'Р'|87,11|'Р'|89,12|'Р'|89,69|'Р'|89,69|'Р'|25,92|'Р'|25,19|'Р'|25,24|'Р'|25,24|'Р'|21,68|'Р'|82,88|'Р'|82,88|'Р'|734,33|4,09431|'95-70'|'зависимая'|1|'разгружен'
