1|2|3|4|5|6|7|||||'1605/12'|||15|16|17|18||||||||||||||32|33|34|35|36|37
82||'Дачное'|'Дачный пр.'|3|'6 А'||5000082|'орг-ия с гос. участием'||'хрущевка'|'другое'|1966|'панельные'|5|0|5|50|2496.7|2496.7|2453.7||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
83||'Дачное'|'Дачный пр.'|3|'7 А'||5000083|'орг-ия с гос. участием'||'панельный'|'другое'|1972|'панельные'|15|0|1|90|3772.24|3772.24|3709.84|62.4|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|2|2|2|1|1|0
84||'Дачное'|'Дачный пр.'|5|'1 А'||5000084|'орг-ия с гос. участием'||'хрущевка'|'другое'|1966|'панельные'|5|0|7|70|3264.37|3264.37|3178.87|85.5|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
85||'Дачное'|'Дачный пр.'|5|'3 А'||5000085|'орг-ия с гос. участием'||'хрущевка'|'другое'|1966|'панельные'|5|0|7|70|3230.73|3230.73|3187.73||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
86||'Дачное'|'Дачный пр.'|5|'4 А'||5000086|'орг-ия с гос. участием'||'хрущевка'|'другое'|1966|'панельные'|5|0|7|70|3217.05|3217.05|3174.15||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
87||'Дачное'|'Дачный пр.'|5|'5 А'||5000087|'орг-ия с гос. участием'||'хрущевка'|'другое'|1966|'панельные'|5|0|7|70|3306.15|3306.15|3177.65|128.5|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
88||'Дачное'|'Дачный пр.'|5|'6 А'||5000088|'орг-ия с гос. участием'||'хрущевка'|'другое'|1966|'панельные'|5|0|7|70|3294.18|3294.18|3166.08|128.1|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
89||'Дачное'|'Дачный пр.'|5|'7 А'||5000089|'орг-ия с гос. участием'||'хрущевка'|'другое'|1966|'панельные'|9|0|1|54|2058.61|2058.61|1929.31|129.3|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|1|2|1|1|1|0
90||'Дачное'|'Дачный пр.'|7|'1 А'||5000090|'орг-ия с гос. участием'||'панельный'|'другое'|1969|'панельные'|9|0|5|179|9651.64|9651.64|9312.74|338.9|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|5|2|0|1|1|0
91||'Дачное'|'Дачный пр.'|7|'3 А'||5000091|'орг-ия с гос. участием'||'хрущевка'|'другое'|1966|'панельные'|5|0|5|50|2495.64|2495.64|2452.64||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
92||'Дачное'|'Дачный пр.'|7|'4 А'||5000092|'орг-ия с гос. участием'||'хрущевка'|'другое'|1966|'панельные'|5|0|5|50|2501.02|2501.02|2459.02||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
93||'Дачное'|'Дачный пр.'|8|'1 А'||5000093|'орг-ия с гос. участием'||'панельный'|'1-мг-600'|1975|'панельные'|9|0|6|215|12681.98|12681.98|12280.28|401.7|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|6|2|2|3|3|0
94||'Дачное'|'Дачный пр.'|8|'3 А'||5000094|'орг-ия с гос. участием'||'панельный'|'другое'|1974|'панельные'|9|0|5|179|9396.52|9396.52|9352.52||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|5|2|1|1|1|0
95||'Дачное'|'Дачный пр.'|8|'4 А'||5000095|'орг-ия с гос. участием'||'панельный'|'другое'|1973|'панельные'|9|0|5|179|9397.19|9397.19|9359.19||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|5|2|1|1|1|0
96||'Дачное'|'Дачный пр.'|9|'2 А'||5000096|'орг-ия с гос. участием'||'панельный'|'другое'|1969|'панельные'|9|0|7|251|13284.57|13284.57|12800.17|484.4|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|7|2|0|1|1|0
