1|2|3|4|5|6|7|||||'1605/12'|||15|16|17|18||||||||||||||32|33|34|35|36|37
94|'Кронштадтский'||'Интернациональная ул'|'д.5/11'|||'09_000094'|'ЖК'||'индивидуальный'|'индивидуальный'|1960|'кирпичные'|3||2|18|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
95|'Кронштадтский'||'Карла Либкнехта ул'|'д. 15'|'а'||'09_000095'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|5||3|55|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|3|||||
96|'Кронштадтский'||'Карла Либкнехта ул'|'д. 15б'|'А'||'09_000096'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|5||3|44|||2662||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|3|||||
97|'Кронштадтский'||'Карла Либкнехта ул'|'д. 17'|'А'||'09_000097'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|5||5|90|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
98|'Кронштадтский'||'Карла Либкнехта ул'|'д. 24'|'А'||'09_000098'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|5||3|40|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
99|'Кронштадтский'||'Карла Либкнехта ул'|'д. 25'|||'09_000099'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|5||2|40|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
100|'Кронштадтский'||'Карла Либкнехта ул'|'д. 27'|'А'||'09_000100'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|4||2|23|||1504||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
101|'Кронштадтский'||'Карла Либкнехта ул'|'д. 29'|'А'||'09_000101'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|4||1|12|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
102|'Кронштадтский'||'Карла Либкнехта ул'|'д. 30'|||'09_000102'|'ЖК'|||||'кирпичные'|5||5|100|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
103|'Кронштадтский'||'Карла Маркса ул'|'д. 12'|||'09_000103'|'ЖК'|||||'кирпичные'|5||5|79|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
104|'Кронштадтский'||'Карла Маркса ул'|'д. 13'|'А'||'09_000104'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|3||1|17|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
105|'Кронштадтский'||'Карла Маркса ул'|'д. 17'|||'09_000105'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|5||2|40|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
106|'Кронштадтский'||'Карла Маркса ул'|'д. 21'|||'09_000106'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|4||2|26|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
107|'Кронштадтский'||'Карла Маркса ул'|'д. 25'|||'09_000107'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|3||2|18|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
